Fechas;Totales;Inflacion;Dolar
1/7/2014;189264630; 2.47 ;12.6
1/8/2014;158497928; 2.65 ;12.9339
1/9/2014;192514171; 2.48 ;13.25466072
1/10/2014;181759203; 2.25 ;13.55289059
1/11/2014;176177994; 1.86 ;13.80497435
1/12/2014;194628418; 1.87 ;14.06312737
1/1/2015;216099666;2.08;14.35564042
1/2/2015;199138202;1.48;14.5681039
1/3/2015;222235095;2.12;14.8769477
1/4/2015;211026406;2.01;15.17597435
1/5/2015;204115955;2.00;15.47949384
1/6/2015;225890131;1.53;15.71633009
1/7/2015;245520241;1.92;16.01808363
1/8/2015;226443058;2.17;16.36567605
1/9/2015;243390183;1.92;16.67989703
1/10/2015;241730143;1.52;16.93343146
1/11/2015;238958019;2.20;17.30596695
1/12/2015;269890480;3.80;17.9635937
1/1/2016;290960462;3.60;18.61028307
1/2/2016;266848299;4.8;19.50357666
1/3/2016;295468898;3.2;20.12769111
1/4/2016;288924998;6.7;21.47624641
1/5/2016;288187182;3.5;22.22791504
1/6/2016;304555011;2.9;22.87252458
1/7/2016;338182280;2.4;23.42146517
1/8/2016;322790496;0.5;23.53857249
1/9/2016;336998668;0.8;23.72688107
1/10/2016;362773974;2.9;24.41496062
1/11/2016;344585900;1.9;24.87884487
1/12/2016;378522230;1.6;25.27690639
1/1/2017;410571659;1.6;25.68133689
1/2/2017;377073247;2.1;26.22064497
1/3/2017;431701338;2.2;26.79749916
1/4/2017;412997306;2.1;27.36024664
1/5/2017;414334798;1.8;27.85273108
1/6/2017;480111346;1.3;28.21481658
1/7/2017;476072839;2.1;28.80732773
1/8/2017;469514999;1.5;29.23943765
1/9/2017;509315540;1.6;29.70726865
1/10/2017;523588101;1.5;30.15287768
1/11/2017;530376163;1.4;30.57501797
1/12/2017;525606507;3.1;31.52284353
1/1/2018;624797094;1.76;32.07764557
1/2/2018;574554395;2.42;32.85392459
1/3/2018;599691259;2.34;33.62270643
1/4/2018;576509644;2.74;34.54396859
1/5/2018;588320078;2.08;35.26248313
1/6/2018;622459240;3.74;36.5813
1/7/2018;653632763;3.1;37.7153203
1/8/2018;661354801;3.89;39.18244626
1/9/2018;657339572;6.53;41.74106
1/10/2018;738745619;5.39;43.99090314
1/11/2018;739164136;3.15;45.37661659
1/12/2018;778963660;2.57;46.54279563
1/1/2019;847101829;2.91;47.89719098
1/2/2019;810697427;3.77;49.70291508
1/3/2019;862074061;4.68;52.02901151
1/4/2019;896776055;3.44;53.81880951
1/5/2019;917603927;3.06;55.46566508
1/6/2019;948008558;2.72;56.97433117
1/7/2019;1025921456;2.2;58.22776645
1/8/2019;1040050842;3.95;60.52776323
1/9/2019;1037022472;5.89;64.09284848
1/10/2019;1181433438;3.29;66.20150319
1/11/2019;1140279195;4.3;69.048167827
1/12/2019;1243041378;3.74;71.630569
1/1/2020;1361710099;3;73.779486